# Time [s]    dTemp [°C]   Temp [°C]   Temp_0 [°C]       I [A]
      0.400000      0.005000     22.721000     22.716000      0.489000
      1.400000     -0.215000     22.537000     22.752000      0.483000
      2.400000     -0.406000     22.329000     22.735000      0.500000
      3.400000     -0.882000     21.873000     22.754000      0.501000
      4.400000     -1.197000     21.540000     22.737000      0.498000
      5.400000     -1.535000     21.216000     22.752000      0.496000
      6.400000     -1.806000     20.939000     22.745000      0.496000
      7.400000     -2.046000     20.682000     22.729000      0.497000
      8.400000     -2.363000     20.413000     22.776000      0.498000
      9.400000     -2.511000     20.274000     22.785000      0.500000
     10.400000     -2.684000     20.140000     22.824000      0.502000
     11.400000     -2.804000     20.010000     22.815000      0.498000
     12.400000     -2.790000     19.997000     22.787000      0.496000
     13.400000     -2.998000     19.808000     22.806000      0.492000
     14.400000     -3.077000     19.701000     22.778000      0.499000
     15.400000     -3.090000     19.656000     22.746000      0.497000
     16.400000     -3.292000     19.486000     22.778000      0.502000
     17.400000     -3.364000     19.425000     22.790000      0.494000
     18.400000     -3.412000     19.371000     22.784000      0.497000
     19.400000     -3.527000     19.257000     22.784000      0.497000
     20.500000     -3.653000     19.153000     22.807000      0.496000
     21.500000     -3.668000     19.125000     22.794000      0.492000
     22.500000     -3.754000     19.065000     22.819000      0.493000
     23.500000     -3.915000     18.931000     22.847000      0.489000
     24.500000     -3.912000     18.912000     22.824000      0.491000
     25.500000     -4.100000     18.736000     22.836000      0.492000
     26.500000     -4.139000     18.680000     22.819000      0.496000
     27.500000     -4.167000     18.641000     22.808000      0.498000
     28.500000     -4.195000     18.602000     22.797000      0.490000
     29.500000     -4.324000     18.480000     22.805000      0.498000
     30.500000     -4.456000     18.380000     22.836000      0.497000
     31.500000     -4.498000     18.348000     22.846000      0.495000
     32.500000     -4.537000     18.297000     22.835000      0.499000
     33.500000     -4.607000     18.211000     22.818000      0.491000
     34.500000     -4.585000     18.223000     22.808000      0.497000
     35.500000     -4.724000     18.111000     22.835000      0.497000
     36.500000     -4.732000     18.103000     22.836000      0.497000
     37.500000     -4.647000     18.132000     22.779000      0.497000
     38.500000     -4.741000     18.019000     22.760000      0.499000
     39.500000     -4.841000     17.922000     22.763000      0.495000
     40.500000     -4.929000     17.862000     22.791000      0.504000
     41.500000     -4.950000     17.843000     22.793000      0.498000
     42.500000     -5.041000     17.781000     22.822000      0.496000
     43.500000     -5.074000     17.717000     22.790000      0.494000
     44.500000     -5.217000     17.593000     22.810000      0.494000
     45.500000     -5.216000     17.575000     22.791000      0.492000
     46.500000     -5.234000     17.593000     22.827000      0.501000
